Size,Selection,Merge,Counting
100,0.008083,0.085291,1.61021
200,0.03025,0.136625,1.52042
300,0.051375,0.172125,1.44021
400,0.087041,0.226875,1.04742
500,0.118583,0.2525,1.46388
600,0.146625,0.293791,0.896917
700,0.195958,0.327,1.053
800,0.25225,0.349292,0.796875
900,0.285042,0.353709,0.901583
1000,0.401958,0.551458,0.840583
1100,0.489167,0.61975,0.75325
1200,0.517666,0.560625,0.717
1300,0.555667,0.619167,0.71425
1400,0.635125,0.633833,0.6675
1500,0.625875,0.580125,0.62125
1600,0.708417,0.64575,0.618334
1700,0.796958,0.649083,0.593542
1800,0.799417,0.601167,0.563708
1900,0.873708,0.642375,0.576041
2000,0.966208,0.654459,0.503416
2100,0.96075,0.655708,0.508416
2200,1.04658,0.6935,0.504375
2300,1.14263,0.657417,0.459667
2400,1.13229,0.691625,0.466166
2500,1.22663,0.720917,0.460792
2600,1.23479,0.698625,0.445209
2700,1.32171,0.716083,0.43925
2800,1.53262,0.698041,0.469542
2900,1.59367,0.724834,0.435125
3000,1.61796,0.717916,0.439792
3100,1.7875,0.740292,0.398208
3200,1.66779,0.805584,0.439375
3300,1.67375,0.746167,0.393875
3400,1.76983,0.732042,0.385958
3500,1.901,0.765334,0.38275
3600,1.96021,0.745,0.370083
3700,1.99238,0.819542,0.371917
3800,2.02967,0.7765,0.380792
3900,2.11921,0.784792,0.362125
4000,2.24283,0.800542,0.380208
4100,2.33496,0.8465,0.365209
4200,2.46696,0.874458,0.371709
4300,2.39733,0.814166,0.368375
4400,2.50833,0.831625,0.3365
4500,2.66617,0.890875,0.353833
4600,2.67912,0.859458,0.331458
4700,2.85433,0.885042,0.345958
4800,2.9755,0.90175,0.38975
4900,3.11879,0.924667,0.352542
5000,3.74471,0.97225,0.349917
5100,3.19758,0.970458,0.330292
5200,3.33146,1.00121,0.33375
5300,3.45475,1.00821,0.328208
5400,3.58317,1.04137,0.33975
5500,3.74896,1.03546,0.334125
5600,3.8495,1.05479,0.335958
5700,3.98504,1.07429,0.334458
5800,4.1385,1.088,0.337916
5900,4.27879,1.10917,0.342792
6000,4.42075,1.1255,0.347208
6100,4.57329,1.14213,0.367125
6200,4.78637,1.17121,0.343458
6300,4.88875,1.17954,0.345333
6400,5.05571,1.19883,0.339833
6500,5.21092,1.2145,0.344916
6600,5.34029,1.23788,0.362583
6700,5.53242,1.25275,0.359792
6800,5.70887,1.26358,0.356084
6900,5.86708,1.27933,0.347541
7000,6.04321,1.29258,0.348292
7100,6.20771,1.30629,0.348875
7200,6.39067,1.34721,0.350334
7300,6.59271,1.384,0.37675
7400,6.96492,1.36854,0.373583
7500,9.33912,1.54529,0.438583
7600,16.3368,1.82325,0.439625
7700,16.9213,3.09521,0.965334
7800,15.8603,1.5755,0.398959
7900,12.1187,1.41938,0.394541
8000,8.49863,1.42021,0.372208
8100,7.99729,1.43108,0.353542
8200,8.1915,1.478,0.358125
8300,8.394,1.50567,0.361458
8400,8.60354,1.54075,0.359583
8500,8.84287,1.577,0.364875
8600,9.00704,1.59625,0.397042
8700,9.23625,1.60608,0.366583
8800,9.6845,1.77967,0.403625
8900,9.67958,1.71175,0.38025
9000,9.86812,1.70329,0.365375
9100,10.1128,1.73392,0.369334
9200,10.3347,1.72863,0.364541
9300,10.6021,1.77421,0.369834
9400,10.8011,1.79825,0.3695
9500,11.0191,1.83425,0.368875
9600,11.2819,1.88633,0.373666
9700,11.9005,1.91858,0.40575
9800,11.8528,1.90217,0.38575
9900,11.9633,1.90712,0.3735
10000,12.182,1.9825,0.3725
